Район;Улица;Номер;Корпус;Литер;Кол-во комнат;Площадь;Этаж;Этажей;Цена;Метро;Дата постройки;Дата реконструкции;Даты кап. ремонты;Общая пл. здания, м2;Жилая пл., м2;Пл. нежелых помещений м2;Мансарда м2;Кол-во проживающих;Центральное отопление;Центральное ГВС;Центральное ЭС;Центарльное ГС;Тип Квартир;Кол-во квартир;Дата ТЭП;Виды кап. ремонта;Общее кол-во лифтов;Расстояние пешком;Время пешком;Расстояние на машине;Время на машине;Откуда взято
﻿Адмиралтейский;Фонтанки реки наб.;101;;;Студия;20;1;3;3600000;Сенная площадь;1798;1958;2004, 2004, 2005, 2007, 2007, 2008, 2008, 2009, 2009;3057,1;2332,5;399,5;0;5;True;True;True;True;3 комн., 4 комн., 5 комн., 6 комн.;6, 6, 2, 1;14.12.2009;Благоустройство придомовой территории, Ремонт или восстановление внутридомовых инженерных систем, Ремонт или замена системы горячего водоснабжения, Ремонт или замена системы канализования и водоотведения, Ремонт или замена системы отопления, Ремонт или замена системы холодного водоснабжения, Ремонт конструкций и замена покрытий крыш, Ремонт фасадов без утепления, Установка общедомовых (и квартирных при замене сетей) приборов учета потребления: тепловой энергии на нужды отопления и горячего водоснабжения, потребления холодной воды, электрической энергии, газа;0;679 м;8 мин;699 м;3 мин;https://www.emls.ru/fullinfo/1/1462301.html
Адмиралтейский;Московский пр.;49;;;1 км. кв.;44,5;3;5;6800000;Технологический институт;1878;1983;;6440,5;4779,46;1038,44;0;7;True;True;True;True;1 комн., 2 комн., 3 комн., 4 комн.;15, 26, 18, 1 ;21.10.2013;;1;607 м;7 мин;1500 м;6 мин;https://www.emls.ru/fullinfo/1/1412761.html
Адмиралтейский;Загородный пр.;45;;;Студия;26;2;6;3800000;Пушкинская;1906;;1998, 2003, 2005, 2006, 2006, 2007, 2007, 2007, 2007, 2008, 2008, 2008, 2009, 2009, 2009, 2012, 2012;10788,2;7474,2;2325,9;0;9;True;False;True;True;1 комн., 2 комн., 3 комн., 4 комн., 5 комн., 6 комн.;7, 9, 3, 3, 1, 1;12.04.2009;АВКР, Благоустройство придомовой территории, Капитальный ремонт лифтов (с заменой крупных узлов), Капитальный ремонт лифтов (с заменой крупных узлов), Расходы на изготовление проектно-сметной документации, Ремонт и восстановление озеленения, Ремонт или восстановление ОДС, Ремонт или замена системы отопления, Ремонт или замена системы холодного водоснабжения, Ремонт или замена системы холодного водоснабжения, Ремонт или замена системы электроснабжения, Ремонт или замена системы электроснабжения, Ремонт или замена системы электроснабжения, Ремонт конструкций и замена покрытий крыш, Ремонт фасадов без утепления, Ремонт фасадов без утепления, Установка общедомовых (и квартирных при замене сетей) приборов учета потребления: тепловой энергии на нужды отопления и горячего водоснабжения, потребления холодной воды, электрической энергии, газа;3;525 м;6 мин;924 м;3 мин;https://www.emls.ru/fullinfo/1/1468413.html
Адмиралтейский;13-я Красноармейская ул.;14;;;1 км. кв.;27;1;6;3590000;Технологический институт;1902;;2000, 2008, 2009, 2010, 2013, 2014, 2015, 2015;3591;2969,21;196,79;0;2;True;True;True;True;1 комн., 2 комн., 3 комн., 4 комн., 5 комн. ;2, 6, 14, 2, 1;12.04.2009;Асфальтирование и замощение придомовой территории, Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов, Расходы на изготовление проектно-сметной документации, Ремонт или замена системы горячего водоснабжения, Ремонт или замена системы отопления, Ремонт или замена системы электроснабжения, Ремонт конструкций и замена покрытий крыш, Ремонт фасадов без утепления;1;1100 м;13 мин;1000 м;2 мин;https://www.emls.ru/fullinfo/1/1454849.html
Адмиралтейский;Гражданская ул.;7;;;Студия;17,1;2;5;2479000;Садовая;1850;1966;1997, 2013, 2014;4846,7;3618,9;527,4;0;7;True;False;True;True;1 комн., 2 комн., 3 комн., 4 комн.;1, 13, 17, 7;12.04.2009;Расходы на изготовление проектно-сметной документации, Ремонт или замена системы отопления, Ремонт фасадов без утепления;0;397 м;4 мин;1400 м;12 мин;https://www.emls.ru/fullinfo/1/1467648.html
Адмиралтейский;Большая Подьяческая;32;;;1 км. кв.;34;1;4;5200000;Садовая;1878;1988;2009, 2009, 2009, 2011;1345,5;1187;0;0;0;True;True;True;True;1 комн., 2 комн.;7, 13 ;16.03.2010;Ремонт или замена системы горячего водоснабжения, Ремонт или замена системы отопления, Ремонт или замена системы холодного водоснабжения, Ремонт фасадов без утепления;0;1400 м;16 мин;1900 м;8 мин;https://www.emls.ru/fullinfo/1/1444330.html
Адмиралтейский;Верейская ул.;42;;;Студия;14,15;2;0;2080000;Технологический институт;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;1100 м;12 мин;1400 м;4 мин;https://www.emls.ru/fullinfo/1/706568021.html
Адмиралтейский;Дерптский пер.;8;;;1 км. кв.;43;2;5;5800000;Балтийская;1917;1990;2007, 2007, 2014, 2014;2161;1509,9;367,1;0;1;True;True;True;True;1 комн., 2 комн., 3 комн. ;5, 15, 3;12.04.2009;Благоустройство придомовой территории, Ремонт и восстановление озеленения, Ремонт конструкций и замена покрытий крыш, Ремонт фасадов без утепления;0;1400 м;17 мин;1400 м;4 мин;https://www.emls.ru/fullinfo/1/1406836.html
Адмиралтейский;Бумажная ул.;20;;;Студия;18,1;1;5;2200000;Нарвская;1935;;2015;4348;3570,8;0;0;0;True;True;True;True;2 комн. ;1 ;25.11.2013;Ремонт или замена системы горячего водоснабжения;0;906 м;10 мин;1200 м;3 мин;https://www.emls.ru/fullinfo/1/1466078.html
Адмиралтейский;Лермонтовский пр.;50;;;1 км. кв.;19,5;1;6;3250000;Балтийская;1916;1950;1950, 2009, 2009, 2017, 2017, 2017, 2017;12262,5;7964,11;2906,09;253,7;11;True;True;True;True;1 комн., 2 комн., 3 комн., 4 комн., 5 комн. ;16, 50, 24, 5, 2;19.04.2013;Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов, Ремонт или восстановление ОДС, Ремонт или замена системы горячего водоснабжения, Ремонт или замена системы канализования и водоотведения, Ремонт или замена системы отопления, Ремонт или замена системы холодного водоснабжения, Ремонт фасадов без утепления;6;920 м;11 мин;851 м;2 мин;https://www.emls.ru/fullinfo/1/1437298.html
