190000,Адмиралтейский район 
190005,Адмиралтейский район 
190008,Адмиралтейский район 
190013,Адмиралтейский район 
190020,Адмиралтейский район 
190031,Адмиралтейский район 
190068,Адмиралтейский район 
190098,Адмиралтейский район 
190103,Адмиралтейский район 
190107,Адмиралтейский район 
190121,Адмиралтейский район 
199004,Василеостровский район 
199026,Василеостровский район 
199034,Василеостровский район 
199048,Василеостровский район 
199053,Василеостровский район 
199058,Василеостровский район 
199106,Василеостровский район 
199155,Василеостровский район 
199178,Василеостровский район 
199226,Василеостровский район 
199397,Василеостровский район 
199405,Василеостровский район 
199406,Василеостровский район 
192012,Невский район 
192019,Невский район 
192029,Невский район 
192076,Невский район 
192131,Невский район 
192148,Невский район 
192171,Невский район 
192174,Невский район 
192177,Невский район 
193079,Невский район 
193091,Невский район 
193149,Невский район 
193168,Невский район 
193230,Невский район 
193231,Невский район 
193232,Невский район 
193312,Невский район 
193315,Невский район 
193318,Невский район 
193382,Невский район 
192007,Фрунзенский район 
192071,Фрунзенский район 
192102,Фрунзенский район 
192212,Фрунзенский район 
192236,Фрунзенский район 
192238,Фрунзенский район 
192239,Фрунзенский район 
192241,Фрунзенский район 
192242,Фрунзенский район 
192281,Фрунзенский район 
192282,Фрунзенский район 
192283,Фрунзенский район 
192284,Фрунзенский район 
192285,Фрунзенский район 
192286,Фрунзенский район 
192288,Фрунзенский район 
192289,Фрунзенский район 
192290,Фрунзенский район 
191002,Центральный район 
191014,Центральный район 
191015,Центральный район 
191023,Центральный район 
191024,Центральный район 
191025,Центральный район 
191028,Центральный район 
191033,Центральный район 
191036,Центральный район 
191038,Центральный район 
191040,Центральный район 
191055,Центральный район 
191060,Центральный район 
191069,Центральный район 
191104,Центральный район 
191119,Центральный район 
191122,Центральный район 
191123,Центральный район 
191124,Центральный район 
191141,Центральный район 
191144,Центральный район 
191163,Центральный район 
191167,Центральный район 
191180,Центральный район 
191186,Центральный район 
191187,Центральный район 
191193,Центральный район 
191311,Центральный район 
191317,Центральный район 
198035,Кировский район 
198095,Кировский район 
198096,Кировский район 
198097,Кировский район 
198099,Кировский район 
198152,Кировский район 
198184,Кировский район 
198188,Кировский район 
198207,Кировский район 
198215,Кировский район 
198216,Кировский район 
198217,Кировский район 
198255,Кировский район 
198260,Кировский район 
198261,Кировский район 
198262,Кировский район 
198302,Кировский район 
198303,Кировский район 
198205,Красносельский район 
198206,Красносельский район 
198218,Красносельский район 
198259,Красносельский район 
198264,Красносельский район 
198320,Красносельский район 
198323,Красносельский район 
198324,Красносельский район 
198325,Красносельский район 
198326,Красносельский район 
198327,Красносельский район 
198328,Красносельский район 
198329,Красносельский район 
198330,Красносельский район 
198332,Красносельский район 
198334,Красносельский район 
198411,Петродворцовый район 
198412,Петродворцовый район 
198510,Петродворцовый район 
198511,Петродворцовый район 
198514,Петродворцовый район 
198515,Петродворцовый район 
198516,Петродворцовый район 
198517,Петродворцовый район 
198504,Петродворцовый район 
196006,Московский район 
196066,Московский район 
196070,Московский район 
196084,Московский район 
196105,Московский район 
196128,Московский район 
196135,Московский район 
196140,Московский район 
196142,Московский район 
196143,Московский район 
196158,Московский район 
196189,Московский район 
196191,Московский район 
196199,Московский район 
196210,Московский район 
196211,Московский район 
196233,Московский район 
196240,Московский район 
196244,Московский район 
196245,Московский район 
196247,Московский район 
196601,Пушкинский район 
196602,Пушкинский район 
196603,Пушкинский район 
196604,Пушкинский район 
196605,Пушкинский район 
196606,Пушкинский район 
196607,Пушкинский район 
196608,Пушкинский район 
196609,Пушкинский район 
196620,Пушкинский район 
196621,Пушкинский район 
196631,Пушкинский район 
196632,Пушкинский район 
196634,Пушкинский район 
196627,Пушкинский район 
196625,Пушкинский район 
196626,Пушкинский район 
196650,Колпинский район 
196651,Колпинский район 
196652,Колпинский район 
196653,Колпинский район 
196654,Колпинский район 
196655,Колпинский район 
196657,Колпинский район 
196658,Колпинский район 
196641,Колпинский район 
196643,Колпинский район 
196644,Колпинский район 
196642,Колпинский район 
196645,Колпинский район 
195009,Калининский район 
195197,Калининский район 
195220,Калининский район 
195221,Калининский район 
195251,Калининский район 
195252,Калининский район 
195256,Калининский район 
195257,Калининский район 
195265,Калининский район 
195267,Калининский район 
195269,Калининский район 
195271,Калининский район 
195273,Калининский район 
195274,Калининский район 
195276,Калининский район 
195297,Калининский район 
195299,Калининский район 
195427,Калининский район 
195027,Красногвардейский район 
195030,Красногвардейский район 
195043,Красногвардейский район 
195067,Красногвардейский район 
195112,Красногвардейский район 
195160,Красногвардейский район 
195176,Красногвардейский район 
195196,Красногвардейский район 
195213,Красногвардейский район 
195248,Красногвардейский район 
195253,Красногвардейский район 
195275,Красногвардейский район 
195279,Красногвардейский район 
195298,Красногвардейский район 
195426,Красногвардейский район 
194017,Выборгский район 
194021,Выборгский район 
194044,Выборгский район 
194064,Выборгский район 
194100,Выборгский район 
194153,Выборгский район 
194156,Выборгский район 
194214,Выборгский район 
194223,Выборгский район 
194291,Выборгский район 
194292,Выборгский район 
194294,Выборгский район 
194295,Выборгский район 
194300,Выборгский район 
194352,Выборгский район 
194354,Выборгский район 
194355,Выборгский район 
194356,Выборгский район 
194358,Выборгский район 
194361,Выборгский район 
194362,Выборгский район 
197701,Курортный район 
197706,Курортный район 
197730,Курортный район 
197720,Курортный район 
197733,Курортный район 
197729,Курортный район 
197738,Курортный район 
197739,Курортный район 
197758,Курортный район 
197725,Курортный район 
197760,Кронштадтский район 
197761,Кронштадтский район 
197762,Кронштадтский район 
197763,Кронштадтский район 
197022,Петроградский район 
197046,Петроградский район 
197101,Петроградский район 
197110,Петроградский район 
197136,Петроградский район 
197137,Петроградский район 
197198,Петроградский район 
197376,Петроградский район 
197045,Приморский район 
197183,Приморский район 
197227,Приморский район 
197229,Приморский район 
197341,Приморский район 
197342,Приморский район 
197343,Приморский район 
197348,Приморский район 
197349,Приморский район 
197350,Приморский район 
197371,Приморский район 
197372,Приморский район 
197373,Приморский район 
197374,Приморский район 
197375,Приморский район 
197755,Приморский район 
